Tree,Equity(*),EV,Bet 100,Bet 50,Bet 30,Check
AsKdJc,56.233,22.32,4.302,10.355,32.399,52.944
AsQd9s,56.042,21.924,6.832,11.116,26.943,55.11
AsKdJd,55.798,21.948,4.152,15.862,25.192,54.795
QsQdJc,55.727,22.234,0.288,22.475,58.948,18.289
KsQdJs,55.647,21.971,2.898,15.563,39.444,42.095
KsJdTc,55.643,22.298,2.236,15.797,50.457,31.51
AsAdKd,55.629,21.764,0.278,2.318,45.713,51.691
AsTdTc,55.599,22.001,0.345,21.56,53.502,24.592
KsKdJc,55.437,21.836,0.057,20.124,57.446,22.373
QsJd9d,55.29,21.714,2.563,15.501,34.428,47.507
QsJd8d,55.23,21.387,4.826,18.025,24.659,52.489
AsJd8c,55.133,21.411,2.387,6.033,42.809,48.77
AsKd2c,54.969,21.317,2.328,5.378,39.601,52.693
KsQd2c,54.957,21.561,0.68,17.738,51.081,30.502
AsQd3c,54.829,21.211,1.345,7.305,49.001,42.348
AsQd4c,54.783,21.488,1.475,11.177,48.993,38.354
AsTd2s,54.719,21.077,3.045,10.475,36.605,49.874
AsJd2c,54.715,21.161,1.237,7.907,51.875,38.981
QsTd2d,54.676,21.374,0.946,22.095,43.456,33.503
KsTd2c,54.652,21.338,0.476,24.08,50.331,25.113
JsJdJc,54.633,21.942,2.425,32.363,44.497,20.716
As9d2c,54.621,21.282,0.272,18.954,60.537,20.237
AsKs6d,54.554,21.048,6.25,5.787,27.587,60.377
AsTd5c,54.544,21.217,1.564,16.769,51.6,30.066
KsQd5d,54.507,21.207,3.288,14.477,42.72,39.515
AsQs3d,54.441,20.781,5.007,7.766,26.602,60.625
KsTd4c,54.413,21.346,0.279,26.758,54.192,18.771
AsKd4s,54.402,21.184,6.595,6.261,28.199,58.946
Qs9d8s,54.358,21.134,6.395,17.248,30.425,45.932
TsTd9c,54.348,21.224,0.033,26.868,55.185,17.915
QsTd6c,54.343,21.484,1.579,28.688,44.167,25.566
Ks9d4c,54.314,21.285,0.57,24.662,56.704,18.065
KsQs4d,54.31,21.051,2.404,15.157,40.186,42.253
KsTs5d,54.302,21.049,2.576,18.56,39.059,39.805
KsQs3d,54.229,20.882,2.205,14.173,38.23,45.391
Ts9s9d,54.218,21.112,0.352,22.802,52.791,24.055
Qs9d3s,54.216,21.112,1.223,20.025,46.734,32.018
AsQd7s,54.211,21.061,4.624,7.868,32.461,55.046
Qs9d3d,54.21,21.119,1.437,20.014,46.041,32.507
AsQd7d,54.208,21.05,5.473,5.851,34.249,54.428
As9d6c,54.186,21.097,0.71,19.818,54.596,24.876
KsTs4d,54.168,20.985,1.406,19.929,42.207,36.458
AsTs6d,54.159,21.049,6.372,13.067,29.58,50.981
KsJd3c,54.157,21.006,0.434,20.888,48.378,30.3
Ks9s2d,54.122,20.92,1.725,14.592,46.566,37.116
QsTd6d,54.121,21.306,4.068,26.483,31.582,37.866
Qs8s8d,54.11,20.325,0.13,16.422,58.3,25.148
Ks9d6c,54.11,20.994,1.144,15.033,52.563,31.26
QsJsTs,54.044,20.731,0.16,14.103,37.623,48.115
AsAd5c,54.02,21.335,0.148,18.781,61.948,19.124
Qs9s5d,54.008,21.028,2.229,28.983,36.267,32.521
JsJd2c,53.981,21.012,0.858,17.665,48.242,33.234
QsQd5d,53.964,21.324,0.671,17.288,57.661,24.381
AsJd5s,53.949,20.868,3.866,11.011,34.145,50.979
QsQd6d,53.893,21.229,0.157,15.51,61.288,23.045
JsTd5c,53.844,21.054,0.675,28.657,45.799,24.868
As9d7c,53.833,20.897,1.336,15.657,53.487,29.52
KsKd7c,53.792,21.08,0.185,19.275,57.861,22.679
QsTd7d,53.79,21.177,5.006,25.832,24.214,44.949
Ks9d8c,53.788,20.865,2.695,14.339,37.944,45.022
JsTd3c,53.785,20.832,0.397,26.296,46.723,26.584
JsTd3d,53.708,20.785,0.888,25.232,36.42,37.46
QsJd7d,53.672,21.064,3.079,23.182,29.388,44.351
Js9d4c,53.662,20.905,0.567,23.652,47.772,28.009
JsJd3c,53.618,20.669,0.479,16.903,45.836,36.782
Ks9d8d,53.545,20.726,4.749,17.878,28.012,49.361
8s8d8c,53.352,20.413,1.956,34.326,29.631,34.087
AsJs3s,53.339,20.284,3.223,8.408,16.582,71.788
Qs8d3d,53.318,20.627,1.141,19.67,43.066,36.123
Ts9d5s,53.274,20.581,10.579,21.334,22.891,45.195
9s9d6c,53.23,20.571,0.142,15.687,55.03,29.141
Js9d6s,53.197,20.652,6.674,18.399,27.205,47.723
Js9d7c,53.148,20.653,3.337,17.306,30.724,48.632
Js8d2d,53.134,20.313,0.664,19.51,38.406,41.419
Ks6s6d,53.081,19.704,0.003,18.546,49.398,32.053
JsTd9s,53.07,19.949,3.424,9.535,21.333,65.709
Qs4s4d,53.05,19.857,0.004,21.74,50.399,27.857
As8d3c,52.839,20.216,0.271,17.119,53.767,28.843
Ts6d6c,52.765,19.574,0,24.145,51.548,24.306
As8d6c,52.76,20.43,0.732,18.188,48.523,32.556
Qs8d7d,52.7,20.025,2.019,27.625,27.296,43.059
As5s5d,52.668,19.527,0.013,9.113,40.49,50.384
Qs4d2s,52.655,20.163,0.972,20.596,42.769,35.664
Qs6s2d,52.618,20.158,0.314,23.757,43.934,31.995
Ts8d2c,52.594,20.221,0.34,18.887,39.182,41.592
Js8d6c,52.568,20.185,0.31,29.675,30.189,39.826
Ks5d2c,52.562,19.941,0.999,23.76,41.927,33.314
Ts4d2s,52.54,20.037,1.008,25.104,38.317,35.571
9s6s6d,52.534,19.377,0.012,16.009,52.332,31.646
Ks8d7c,52.477,19.673,0.572,16.481,41.372,41.575
As6d3d,52.477,19.779,0.753,14.779,44.032,40.436
As8s6d,52.47,20.155,1.738,23.653,31.336,43.272
Ts9d8d,52.436,19.99,4.689,13.858,23.291,58.161
Ks7s2d,52.382,19.894,0.227,22.666,43.933,33.174
9s4s2d,52.349,20.027,0.892,28.544,31.941,38.623
Ks8d3c,52.344,19.964,0.184,20.187,44.957,34.673
Js8d7c,52.343,19.924,4.778,15.346,29.696,50.18
9s8d4c,52.34,20.08,1.51,21.877,31.444,45.169
Ts8d3s,52.261,20.147,1.377,21.887,26.017,50.719
Js5d2d,52.249,19.769,0.906,21.583,38.481,39.03
Qs7d2s,52.243,20.063,0.164,19.87,43.353,36.613
As8d7s,52.243,19.767,1.797,22.234,29.284,46.685
Ks4s2s,52.22,19.92,0.868,2.99,45.941,50.2
9s8d2c,52.212,20.056,1.013,19.849,31.878,47.26
Js4d2c,52.209,19.745,0.72,24.077,36.593,38.61
9s5d2s,52.195,19.929,1.108,31.578,27.215,40.099
Ts6s2d,52.191,19.92,0.295,27.253,35.899,36.553
Ks6d3c,52.169,19.629,0.579,24.229,42.033,33.159
Qs6d5c,52.167,19.518,0.355,26.679,40.98,31.986
Ts8d7c,52.132,20.241,4.85,13.453,30.825,50.872
Ts8s5d,52.113,20.156,5.684,23.565,19.926,50.825
As5s2d,52.078,19.285,0.846,12.827,39.82,46.507
Js7d7c,52.05,18.579,0.001,17.167,46.871,35.961
Ts9s7d,51.989,19.647,18.025,8.393,12.877,60.705
Ks6d5d,51.973,19.237,0.507,21.907,38.412,39.174
Ks7d4c,51.956,19.62,0.611,23.742,43.536,32.112
Ts4d3d,51.888,19.655,1.376,28.51,29.903,40.212
Ks5s3s,51.858,19.799,1.143,5.554,43.54,49.762
As8s6s,51.852,19.465,1.156,7.898,21.944,69.002
Ks8s5d,51.838,19.59,0.858,25.238,31.648,42.256
9s6s2s,51.81,19.818,0.146,14.315,43.132,42.407
Qs5d4s,51.741,19.37,1.189,24.563,35.924,38.324
As4d3d,51.726,19.212,0.5,8.558,42.733,48.209
Ts6s4d,51.709,19.806,0.335,32.239,25.427,42
As7d4c,51.695,19.584,0.362,15.661,43.704,40.273
9s5d3c,51.646,19.537,0.153,39.121,18.493,42.233
Js5s3d,51.592,19.53,0.697,22.761,34.581,41.962
Js6d4c,51.543,19.67,0.431,25.573,35.825,38.17
9s5s3d,51.528,19.454,1.321,32.368,21.761,44.55
3s2s2d,51.52,18.474,1.318,14.234,29.468,54.98
3s3d2d,51.509,18.317,1.336,13.694,31.455,53.514
9s7d4d,51.502,19.544,4.763,25.87,18.634,50.733
4s2d2c,51.478,18.514,1.915,25.059,17.979,55.048
Js7d6c,51.435,19.102,0.039,24.037,29.166,46.758
Ts7d5s,51.423,19.709,1.591,27.51,21.3,49.598
Ts7d3c,51.423,19.28,0.165,21.845,32.958,45.033
9s7d3d,51.382,19.38,3.588,26.661,19.155,50.596
Ts7s4s,51.308,19.544,0.465,14.852,35.821,48.861
Js5d4d,51.192,19.084,0.98,26.617,29.968,42.435
8s8d6d,51.187,18.455,0.009,9.4,44.901,45.691
9s7s5s,51.164,19.306,0.015,14.014,36.964,49.007
Js7d4s,51.15,19.382,0.22,22.181,29.419,48.18
As5d4s,51.126,18.736,0.701,14.109,32.573,52.618
8s7s7d,51.035,17.985,0.109,10.911,37.096,51.884
8s5s5d,50.879,18.168,0.001,11.493,39.22,49.286
4s3d3c,50.634,17.625,1.954,21.487,14.76,61.8
7s4d4c,50.505,17.677,0.348,16.415,24.975,58.262
7s6d2s,50.268,18.131,4.831,12.128,16.007,67.033
8s6d4c,50.157,18.333,0.819,18.818,14.25,66.113
8s5s2d,50.119,18.279,0.979,22.6,16.192,60.23
8s6d3c,49.932,18.016,0.45,22.269,15.571,61.71
8s4s3d,49.908,18.057,0.672,21.404,16.558,61.366
7s6d4d,49.897,18.218,13.069,5.647,12.364,68.92
4s3d2c,49.874,17.515,4.093,4.268,16.989,74.651
7s3d2c,49.828,17.438,0.469,18.655,10.525,70.351
7s5d2d,49.811,18.034,0.321,17.097,14.937,67.645
6s3d2c,49.783,17.193,1.346,15.328,9.127,74.199
7s5d3s,49.577,18.021,0.674,14.186,15.359,69.782
7s6d3d,49.371,17.117,3.398,10.694,12.802,73.106
7s6s5d,49.355,17.516,14.502,3.003,8.997,73.499
6s5d3c,49.058,16.786,7.175,11.233,7.983,73.609
8s5d4c,48.922,16.66,1.139,17.362,12.566,68.934
6s5d4s,48.103,16.107,5.614,6.428,12.259,75.699
,,,,,,
163 flops,52.74%,20.02,1.97%,18.21%,35.72%,44.10%
