myPosition,raisePosition,reraisePosition,callPosition,hands,color


UTG,UTG,,,"AA,AKs,AQs,AJs,ATs,A9s,A8s,A7s,A6s,A5s,A4s,A3s,AKo,KK,KQs,KJs,KTs,K9s,K8s,K7s,AQo,KQo,QQ,QJs,QTs,Q9s,AJo,JJ,JTs,J9s,TT,T9s,T8s,99,88,77,66,55",red
UTG,UTG,,,"A2s,KJo,ATo,98s,65s,44",blue

HJ,HJ,,,"AA,AKs,AQs,AJs,ATs,A9s,A8s,A7s,A6s,A5s,A4s,A3s,A2s,AKo,ATo,KK,KQs,KJs,KTs,K9s,K8s,K7s,K6s,K5s,AQo,KQo,QQ,QJs,QTs,Q9s,AJo,KJo,QJo,JJ,JTs,J9s,TT,T9s,T8s,99,98s,88,77,66,65s,55,44,33",red
HJ,HJ,,,"Q8s,J8s,97s,87s,76s,54s",blue

CO,CO,,,"AA,AKs,AQs,AJs,ATs,A9s,A8s,A7s,A6s,A5s,A4s,A3s,A2s,AKo,KK,KQs,KJs,KTs,K9s,K8s,K7s,K6s,K5s,K4s,K3s,AQo,KQo,QQ,QJs,QTs,Q9s,Q8s,Q7s,Q6s,AJo,KJo,QJo,JJ,JTs,J9s,J8s,ATo,KTo,QTo,JTo,TT,T9s,T8s,T7s,A9o,99,98s,97s,88,87s,86s,77,76s,66,65s,55,54s,44,33,22",red
CO,CO,,,"Q5s,J7s,A8o",blue

BTN,BTN,,,"AA,AKs,AQs,AJs,ATs,A9s,A8s,A7s,A6s,A5s,A4s,A3s,A2s,AKo,KK,KQs,KJs,KTs,K9s,K8s,K7s,K6s,K5s,K4s,K3s,K2s,AQo,KQo,QQ,QJs,QTs,Q9s,Q8s,Q7s,Q6s,Q5s,Q4s,Q3s,Q2s,AJo,KJo,QJo,JJ,JTs,J9s,J8s,J7s,J6s,J5s,J4s,ATo,KTo,QTo,JTo,TT,T9s,T8s,T7s,T6s,A9o,K9o,Q9o,J9o,T9o,99,98s,97s,96s,A8o,K8o,T8o,98o,88,87s,86s,85s,A7o,77,76s,75s,A6o,66,65s,64s,A5o,55,54s,53s,A4o,44,33,22",red

SB,SB,,,"AKs,AQs,AJs,ATs,A9s,A8s,KQs,KJs,KTs,QJs,JTs,T5s",red
SB,SB,,,"AA,A7s,A5s,AKo,KK,K9s,K3s,K2s,AQo,KQo,QQ,QTs,Q6s,Q5s,Q4s,Q3s,Q2s,JJ,J7s,J6s,J5s,J4s,J2s,TT,T9s,T6s,A9o,K9o,Q9o,J9o,99,97s,96s,95s,A8o,K8o,T8o,98o,88,85s,A7o,87o,77,76s,75s,74s,66,65s,A5o,55,54s,A4o,43s",yellow
